"region_name","region_type","full_address"
崇文门外街道,4,北京市|北京市|东城区|崇文门外街道|||||
东花市街道,4,北京市|北京市|东城区|东花市街道|||||
龙潭街道,4,北京市|北京市|东城区|龙潭街道|||||
体育馆路街道,4,北京市|北京市|东城区|体育馆路街道|||||
天坛街道,4,北京市|北京市|东城区|天坛街道|||||
永定门外街道,4,北京市|北京市|东城区|永定门外街道|||||
通州区,3,北京市|北京市|通州区||||||
中仓街道,4,北京市|北京市|通州区|中仓街道|||||
新华街道,4,北京市|北京市|通州区|新华街道|||||
北苑街道,4,北京市|北京市|通州区|北苑街道|||||
玉桥街道,4,北京市|北京市|通州区|玉桥街道|||||
潞源街道,4,北京市|北京市|通州区|潞源街道|||||
通运街道,4,北京市|北京市|通州区|通运街道|||||
文景街道,4,北京市|北京市|通州区|文景街道|||||
九棵树街道,4,北京市|北京市|通州区|九棵树街道|||||
临河里街道,4,北京市|北京市|通州区|临河里街道|||||
杨庄街道,4,北京市|北京市|通州区|杨庄街道|||||
潞邑街道,4,北京市|北京市|通州区|潞邑街道|||||
宋庄镇,4,北京市|北京市|通州区|宋庄镇|||||
张家湾镇,4,北京市|北京市|通州区|张家湾镇|||||
漷县镇,4,北京市|北京市|通州区|漷县镇|||||
马驹桥镇,4,北京市|北京市|通州区|马驹桥镇|||||
西集镇,4,北京市|北京市|通州区|西集镇|||||
台湖镇,4,北京市|北京市|通州区|台湖镇|||||
永乐店镇,4,北京市|北京市|通州区|永乐店镇|||||
潞城镇,4,北京市|北京市|通州区|潞城镇|||||
永顺镇,4,北京市|北京市|通州区|永顺镇|||||
梨园镇,4,北京市|北京市|通州区|梨园镇|||||
于家务回族乡,4,北京市|北京市|通州区|于家务回族乡|||||
怀柔区,3,北京市|北京市|怀柔区||||||
泉河街道,4,北京市|北京市|怀柔区|泉河街道|||||
龙山街道,4,北京市|北京市|怀柔区|龙山街道|||||
雁栖镇,4,北京市|北京市|怀柔区|雁栖镇|||||
北房镇,4,北京市|北京市|怀柔区|北房镇|||||
杨宋镇,4,北京市|北京市|怀柔区|杨宋镇|||||
桥梓镇,4,北京市|北京市|怀柔区|桥梓镇|||||
怀北镇,4,北京市|北京市|怀柔区|怀北镇|||||
汤河口镇,4,北京市|北京市|怀柔区|汤河口镇|||||
渤海镇,4,北京市|北京市|怀柔区|渤海镇|||||
九渡河镇,4,北京市|北京市|怀柔区|九渡河镇|||||
琉璃庙镇,4,北京市|北京市|怀柔区|琉璃庙镇|||||
宝山镇,4,北京市|北京市|怀柔区|宝山镇|||||
长哨营满族乡,4,北京市|北京市|怀柔区|长哨营满族乡|||||
喇叭沟门满族乡,4,北京市|北京市|怀柔区|喇叭沟门满族乡|||||
北京雁栖经济开发区,4,北京市|北京市|怀柔区|北京雁栖经济开发区|||||
密云区,3,北京市|北京市|密云区||||||
鼓楼街道,4,北京市|北京市|密云区|鼓楼街道|||||
果园街道,4,北京市|北京市|密云区|果园街道|||||
密云镇,4,北京市|北京市|密云区|密云镇|||||
溪翁庄镇,4,北京市|北京市|密云区|溪翁庄镇|||||
西田各庄镇,4,北京市|北京市|密云区|西田各庄镇|||||
十里堡镇,4,北京市|北京市|密云区|十里堡镇|||||
河南寨镇,4,北京市|北京市|密云区|河南寨镇|||||
巨各庄镇,4,北京市|北京市|密云区|巨各庄镇|||||
穆家峪镇,4,北京市|北京市|密云区|穆家峪镇|||||
太师屯镇,4,北京市|北京市|密云区|太师屯镇|||||
高岭镇,4,北京市|北京市|密云区|高岭镇|||||
不老屯镇,4,北京市|北京市|密云区|不老屯镇|||||
冯家峪镇,4,北京市|北京市|密云区|冯家峪镇|||||
古北口镇,4,北京市|北京市|密云区|古北口镇|||||
大城子镇,4,北京市|北京市|密云区|大城子镇|||||
东邵渠镇,4,北京市|北京市|密云区|东邵渠镇|||||
北庄镇,4,北京市|北京市|密云区|北庄镇|||||
新城子镇,4,北京市|北京市|密云区|新城子镇|||||
石城镇,4,北京市|北京市|密云区|石城镇|||||
中关村科技园区密云园,4,北京市|北京市|密云区|中关村科技园区密云园|||||
丰台区,3,北京市|北京市|丰台区||||||
右安门街道,4,北京市|北京市|丰台区|右安门街道|||||
太平桥街道,4,北京市|北京市|丰台区|太平桥街道|||||
西罗园街道,4,北京市|北京市|丰台区|西罗园街道|||||
大红门街道,4,北京市|北京市|丰台区|大红门街道|||||
南苑街道,4,北京市|北京市|丰台区|南苑街道|||||
东高地街道,4,北京市|北京市|丰台区|东高地街道|||||
东铁匠营街道,4,北京市|北京市|丰台区|东铁匠营街道|||||
六里桥街道,4,北京市|北京市|丰台区|六里桥街道|||||
丰台街道,4,北京市|北京市|丰台区|丰台街道|||||
新村街道,4,北京市|北京市|丰台区|新村街道|||||
长辛店街道,4,北京市|北京市|丰台区|长辛店街道|||||
云岗街道,4,北京市|北京市|丰台区|云岗街道|||||
方庄街道,4,北京市|北京市|丰台区|方庄街道|||||
宛平街道,4,北京市|北京市|丰台区|宛平街道|||||
马家堡街道,4,北京市|北京市|丰台区|马家堡街道|||||
和义街道,4,北京市|北京市|丰台区|和义街道|||||
卢沟桥街道,4,北京市|北京市|丰台区|卢沟桥街道|||||
花乡街道,4,北京市|北京市|丰台区|花乡街道|||||
成寿寺街道,4,北京市|北京市|丰台区|成寿寺街道|||||
石榴庄街道,4,北京市|北京市|丰台区|石榴庄街道|||||
玉泉营街道,4,北京市|北京市|丰台区|玉泉营街道|||||
看丹街道,4,北京市|北京市|丰台区|看丹街道|||||
五里店街道,4,北京市|北京市|丰台区|五里店街道|||||
青塔街道,4,北京市|北京市|丰台区|青塔街道|||||
北宫镇,4,北京市|北京市|丰台区|北宫镇|||||
王佐镇,4,北京市|北京市|丰台区|王佐镇|||||
海淀区,3,北京市|北京市|海淀区||||||
万寿路街道,4,北京市|北京市|海淀区|万寿路街道|||||
永定路街道,4,北京市|北京市|海淀区|永定路街道|||||
羊坊店街道,4,北京市|北京市|海淀区|羊坊店街道|||||
甘家口街道,4,北京市|北京市|海淀区|甘家口街道|||||
八里庄街道,4,北京市|北京市|海淀区|八里庄街道|||||
紫竹院街道,4,北京市|北京市|海淀区|紫竹院街道|||||
北下关街道,4,北京市|北京市|海淀区|北下关街道|||||
北太平庄街道,4,北京市|北京市|海淀区|北太平庄街道|||||
学院路街道,4,北京市|北京市|海淀区|学院路街道|||||
中关村街道,4,北京市|北京市|海淀区|中关村街道|||||
海淀街道,4,北京市|北京市|海淀区|海淀街道|||||
青龙桥街道,4,北京市|北京市|海淀区|青龙桥街道|||||
清华园街道,4,北京市|北京市|海淀区|清华园街道|||||
燕园街道,4,北京市|北京市|海淀区|燕园街道|||||
香山街道,4,北京市|北京市|海淀区|香山街道|||||
清河街道,4,北京市|北京市|海淀区|清河街道|||||
花园路街道,4,北京市|北京市|海淀区|花园路街道|||||
西三旗街道,4,北京市|北京市|海淀区|西三旗街道|||||
马连洼街道,4,北京市|北京市|海淀区|马连洼街道|||||
田村路街道,4,北京市|北京市|海淀区|田村路街道|||||
上地街道,4,北京市|北京市|海淀区|上地街道|||||
曙光街道,4,北京市|北京市|海淀区|曙光街道|||||
西北旺镇,4,北京市|北京市|海淀区|西北旺镇|||||
顺义区,3,北京市|北京市|顺义区||||||
胜利街道,4,北京市|北京市|顺义区|胜利街道|||||
光明街道,4,北京市|北京市|顺义区|光明街道|||||
杨镇,4,北京市|北京市|顺义区|杨镇|||||
石园街道,4,北京市|北京市|顺义区|石园街道|||||
空港街道,4,北京市|北京市|顺义区|空港街道|||||
双丰街道,4,北京市|北京市|顺义区|双丰街道|||||
旺泉街道,4,北京市|北京市|顺义区|旺泉街道|||||
高丽营镇,4,北京市|北京市|顺义区|高丽营镇|||||
李桥镇,4,北京市|北京市|顺义区|李桥镇|||||
李遂镇,4,北京市|北京市|顺义区|李遂镇|||||
南彩镇,4,北京市|北京市|顺义区|南彩镇|||||
北务镇,4,北京市|北京市|顺义区|北务镇|||||
大孙各庄镇,4,北京市|北京市|顺义区|大孙各庄镇|||||
张镇,4,北京市|北京市|顺义区|张镇|||||
龙湾屯镇,4,北京市|北京市|顺义区|龙湾屯镇|||||
木林镇,4,北京市|北京市|顺义区|木林镇|||||
北小营镇,4,北京市|北京市|顺义区|北小营镇|||||
北石槽镇,4,北京市|北京市|顺义区|北石槽镇|||||
赵全营镇,4,北京市|北京市|顺义区|赵全营镇|||||
大兴区,3,北京市|北京市|大兴区||||||
兴丰街道,4,北京市|北京市|大兴区|兴丰街道|||||
林校路街道,4,北京市|北京市|大兴区|林校路街道|||||
清源街道,4,北京市|北京市|大兴区|清源街道|||||
黄村镇,4,北京市|北京市|大兴区|黄村镇|||||
西红门镇,4,北京市|北京市|大兴区|西红门镇|||||
观音寺街道,4,北京市|北京市|大兴区|观音寺街道|||||
天宫院街道,4,北京市|北京市|大兴区|天宫院街道|||||
高米店街道,4,北京市|北京市|大兴区|高米店街道|||||
青云店镇,4,北京市|北京市|大兴区|青云店镇|||||
采育镇,4,北京市|北京市|大兴区|采育镇|||||
安定镇,4,北京市|北京市|大兴区|安定镇|||||
礼贤镇,4,北京市|北京市|大兴区|礼贤镇|||||
榆垡镇,4,北京市|北京市|大兴区|榆垡镇|||||
庞各庄镇,4,北京市|北京市|大兴区|庞各庄镇|||||
北臧村镇,4,北京市|北京市|大兴区|北臧村镇|||||
魏善庄镇,4,北京市|北京市|大兴区|魏善庄镇|||||
长子营镇,4,北京市|北京市|大兴区|长子营镇|||||
大兴国际机场,4,北京市|北京市|大兴区|大兴国际机场|||||
延庆区,3,北京市|北京市|延庆区||||||
百泉街道,4,北京市|北京市|延庆区|百泉街道|||||
香水园街道,4,北京市|北京市|延庆区|香水园街道|||||
儒林街道,4,北京市|北京市|延庆区|儒林街道|||||
延庆镇,4,北京市|北京市|延庆区|延庆镇|||||
康庄镇,4,北京市|北京市|延庆区|康庄镇|||||
八达岭镇,4,北京市|北京市|延庆区|八达岭镇|||||
永宁镇,4,北京市|北京市|延庆区|永宁镇|||||
旧县镇,4,北京市|北京市|延庆区|旧县镇|||||
张山营镇,4,北京市|北京市|延庆区|张山营镇|||||
四海镇,4,北京市|北京市|延庆区|四海镇|||||
千家店镇,4,北京市|北京市|延庆区|千家店镇|||||
沈家营镇,4,北京市|北京市|延庆区|沈家营镇|||||
大榆树镇,4,北京市|北京市|延庆区|大榆树镇|||||
井庄镇,4,北京市|北京市|延庆区|井庄镇|||||
大庄科乡,4,北京市|北京市|延庆区|大庄科乡|||||
刘斌堡乡,4,北京市|北京市|延庆区|刘斌堡乡|||||
香营乡,4,北京市|北京市|延庆区|香营乡|||||
珍珠泉乡,4,北京市|北京市|延庆区|珍珠泉乡|||||
兴谷街道,4,北京市|北京市|平谷区|兴谷街道|||||
平谷区,3,北京市|北京市|平谷区||||||
滨河街道,4,北京市|北京市|平谷区|滨河街道|||||
东高村镇,4,北京市|北京市|平谷区|东高村镇|||||
山东庄镇,4,北京市|北京市|平谷区|山东庄镇|||||
南独乐河镇,4,北京市|北京市|平谷区|南独乐河镇|||||
大华山镇,4,北京市|北京市|平谷区|大华山镇|||||
夏各庄镇,4,北京市|北京市|平谷区|夏各庄镇|||||
马昌营镇,4,北京市|北京市|平谷区|马昌营镇|||||
王辛庄镇,4,北京市|北京市|平谷区|王辛庄镇|||||
大兴庄镇,4,北京市|北京市|平谷区|大兴庄镇|||||
刘家店镇,4,北京市|北京市|平谷区|刘家店镇|||||
镇罗营镇,4,北京市|北京市|平谷区|镇罗营镇|||||
黄松峪乡,4,北京市|北京市|平谷区|黄松峪乡|||||
熊儿寨乡,4,北京市|北京市|平谷区|熊儿寨乡|||||
房山区,3,北京市|北京市|房山区||||||
城关街道,4,北京市|北京市|房山区|城关街道|||||
新镇街道,4,北京市|北京市|房山区|新镇街道|||||
向阳街道,4,北京市|北京市|房山区|向阳街道|||||
东风街道,4,北京市|北京市|房山区|东风街道|||||
迎风街道,4,北京市|北京市|房山区|迎风街道|||||
星城街道,4,北京市|北京市|房山区|星城街道|||||
周口店镇,4,北京市|北京市|房山区|周口店镇|||||
拱辰街道,4,北京市|北京市|房山区|拱辰街道|||||
西潞街道,4,北京市|北京市|房山区|西潞街道|||||
阎村镇,4,北京市|北京市|房山区|阎村镇|||||
窦店镇,4,北京市|北京市|房山区|窦店镇|||||
石楼镇,4,北京市|北京市|房山区|石楼镇|||||
长阳镇,4,北京市|北京市|房山区|长阳镇|||||
河北镇,4,北京市|北京市|房山区|河北镇|||||
长沟镇,4,北京市|北京市|房山区|长沟镇|||||
大石窝镇,4,北京市|北京市|房山区|大石窝镇|||||
张坊镇,4,北京市|北京市|房山区|张坊镇|||||
十渡镇,4,北京市|北京市|房山区|十渡镇|||||
青龙湖镇,4,北京市|北京市|房山区|青龙湖镇|||||
韩村河镇,4,北京市|北京市|房山区|韩村河镇|||||
霞云岭乡,4,北京市|北京市|房山区|霞云岭乡|||||
南窖乡,4,北京市|北京市|房山区|南窖乡|||||
佛子庄乡,4,北京市|北京市|房山区|佛子庄乡|||||
大安山乡,4,北京市|北京市|房山区|大安山乡|||||
史家营乡,4,北京市|北京市|房山区|史家营乡|||||
蒲洼乡,4,北京市|北京市|房山区|蒲洼乡|||||
昌平区,3,北京市|北京市|昌平区||||||
城北街道,4,北京市|北京市|昌平区|城北街道|||||
沙河镇,4,北京市|北京市|昌平区|沙河镇|||||
城南街道,4,北京市|北京市|昌平区|城南街道|||||
天通苑北街道,4,北京市|北京市|昌平区|天通苑北街道|||||
天通苑南街道,4,北京市|北京市|昌平区|天通苑南街道|||||
霍营街道,4,北京市|北京市|昌平区|霍营街道|||||
回龙观街道,4,北京市|北京市|昌平区|回龙观街道|||||
龙泽园街道,4,北京市|北京市|昌平区|龙泽园街道|||||
史各庄街道,4,北京市|北京市|昌平区|史各庄街道|||||
阳坊镇,4,北京市|北京市|昌平区|阳坊镇|||||
小汤山镇,4,北京市|北京市|昌平区|小汤山镇|||||
南邵镇,4,北京市|北京市|昌平区|南邵镇|||||
崔村镇,4,北京市|北京市|昌平区|崔村镇|||||
百善镇,4,北京市|北京市|昌平区|百善镇|||||
北七家镇,4,北京市|北京市|昌平区|北七家镇|||||
兴寿镇,4,北京市|北京市|昌平区|兴寿镇|||||
流村镇,4,北京市|北京市|昌平区|流村镇|||||
十三陵镇,4,北京市|北京市|昌平区|十三陵镇|||||
延寿镇,4,北京市|北京市|昌平区|延寿镇|||||
西城区,3,北京市|北京市|西城区||||||
西长安街街道,4,北京市|北京市|西城区|西长安街街道|||||
新街口街道,4,北京市|北京市|西城区|新街口街道|||||
月坛街道,4,北京市|北京市|西城区|月坛街道|||||
展览路街道,4,北京市|北京市|西城区|展览路街道|||||
德胜街道,4,北京市|北京市|西城区|德胜街道|||||
金融街街道,4,北京市|北京市|西城区|金融街街道|||||
什刹海街道,4,北京市|北京市|西城区|什刹海街道|||||
大栅栏街道,4,北京市|北京市|西城区|大栅栏街道|||||
天桥街道,4,北京市|北京市|西城区|天桥街道|||||
椿树街道,4,北京市|北京市|西城区|椿树街道|||||
陶然亭街道,4,北京市|北京市|西城区|陶然亭街道|||||
广安门内街道,4,北京市|北京市|西城区|广安门内街道|||||
建外街道,4,北京市|北京市|朝阳区|建外街道|||||
牛街街道,4,北京市|北京市|西城区|牛街街道|||||
白纸坊街道,4,北京市|北京市|西城区|白纸坊街道|||||
广安门外街道,4,北京市|北京市|西城区|广安门外街道|||||
朝阳区,3,北京市|北京市|朝阳区||||||
朝外街道,4,北京市|北京市|朝阳区|朝外街道|||||
呼家楼街道,4,北京市|北京市|朝阳区|呼家楼街道|||||
三里屯街道,4,北京市|北京市|朝阳区|三里屯街道|||||
左家庄街道,4,北京市|北京市|朝阳区|左家庄街道|||||
香河园街道,4,北京市|北京市|朝阳区|香河园街道|||||
和平街街道,4,北京市|北京市|朝阳区|和平街街道|||||
安贞街道,4,北京市|北京市|朝阳区|安贞街道|||||
亚运村街道,4,北京市|北京市|朝阳区|亚运村街道|||||
小关街道,4,北京市|北京市|朝阳区|小关街道|||||
酒仙桥街道,4,北京市|北京市|朝阳区|酒仙桥街道|||||
麦子店街道,4,北京市|北京市|朝阳区|麦子店街道|||||
团结湖街道,4,北京市|北京市|朝阳区|团结湖街道|||||
六里屯街道,4,北京市|北京市|朝阳区|六里屯街道|||||
八里庄街道,4,北京市|北京市|朝阳区|八里庄街道|||||
双井街道,4,北京市|北京市|朝阳区|双井街道|||||
劲松街道,4,北京市|北京市|朝阳区|劲松街道|||||
潘家园街道,4,北京市|北京市|朝阳区|潘家园街道|||||
垡头街道,4,北京市|北京市|朝阳区|垡头街道|||||
大屯街道,4,北京市|北京市|朝阳区|大屯街道|||||
望京街道,4,北京市|北京市|朝阳区|望京街道|||||
奥运村街道,4,北京市|北京市|朝阳区|奥运村街道|||||
三间房乡,4,北京市|北京市|朝阳区|三间房乡|||||
八角街道,4,北京市|北京市|石景山区|八角街道|||||
金盏乡,4,北京市|北京市|朝阳区|金盏乡|||||
八宝山街道,4,北京市|北京市|石景山区|八宝山街道|||||
东坝乡,4,北京市|北京市|朝阳区|东坝乡|||||
管庄乡,4,北京市|北京市|朝阳区|管庄乡|||||
东湖街道,4,北京市|北京市|朝阳区|东湖街道|||||
首都机场街道,4,北京市|北京市|朝阳区|首都机场街道|||||
石景山区,3,北京市|北京市|石景山区||||||
老山街道,4,北京市|北京市|石景山区|老山街道|||||
古城街道,4,北京市|北京市|石景山区|古城街道|||||
苹果园街道,4,北京市|北京市|石景山区|苹果园街道|||||
金顶街街道,4,北京市|北京市|石景山区|金顶街街道|||||
广宁街道,4,北京市|北京市|石景山区|广宁街道|||||
五里坨街道,4,北京市|北京市|石景山区|五里坨街道|||||
鲁谷街道,4,北京市|北京市|石景山区|鲁谷街道|||||
门头沟区,3,北京市|北京市|门头沟区||||||
大峪街道,4,北京市|北京市|门头沟区|大峪街道|||||
城子街道,4,北京市|北京市|门头沟区|城子街道|||||
东辛房街道,4,北京市|北京市|门头沟区|东辛房街道|||||
大台街道,4,北京市|北京市|门头沟区|大台街道|||||
永定镇,4,北京市|北京市|门头沟区|永定镇|||||
潭柘寺镇,4,北京市|北京市|门头沟区|潭柘寺镇|||||
军庄镇,4,北京市|北京市|门头沟区|军庄镇|||||
雁翅镇,4,北京市|北京市|门头沟区|雁翅镇|||||
斋堂镇,4,北京市|北京市|门头沟区|斋堂镇|||||
清水镇,4,北京市|北京市|门头沟区|清水镇|||||
妙峰山镇,4,北京市|北京市|门头沟区|妙峰山镇|||||
黑庄户乡,4,北京市|北京市|朝阳区|黑庄户乡|||||
将台乡,4,北京市|北京市|朝阳区|将台乡|||||
来广营乡,4,北京市|北京市|朝阳区|来广营乡|||||
平房乡,4,北京市|北京市|朝阳区|平房乡|||||
南磨房乡,4,北京市|北京市|朝阳区|南磨房乡|||||
十八里店乡,4,北京市|北京市|朝阳区|十八里店乡|||||
孙河乡,4,北京市|北京市|朝阳区|孙河乡|||||
太阳宫乡,4,北京市|北京市|朝阳区|太阳宫乡|||||
王四营乡,4,北京市|北京市|朝阳区|王四营乡|||||
小红门乡,4,北京市|北京市|朝阳区|小红门乡|||||
良乡镇,4,北京市|北京市|房山区|良乡镇|||||
琉璃河镇,4,北京市|北京市|房山区|琉璃河镇|||||
东升镇,4,北京市|北京市|海淀区|东升镇|||||
